Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,WHH,WHD,WHA,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2013-12-15,Juventus,Sassuolo,4,0,H,31,17,10,31,3,0,W,W,W,W,W,L,D,W,D,W,1.2,6.0,15.0,1.0,18.0,18,14,ND,ND,1,1
2013-12-15,Lazio,Livorno,2,0,H,19,15,22,25,0,1,L,L,D,D,L,D,L,L,L,W,1.57,3.2,6.0,7.0,18.0,18,14,WWW,LLL,9,0
2013-12-15,Napoli,Inter,4,2,H,31,34,17,17,1,1,D,W,L,L,W,D,D,D,W,W,1.95,3.2,4.2,2.0,9.0,18,14,WLW,LWL,6,3
2013-12-15,Parma,Cagliari,0,0,D,22,17,24,23,1,3,D,D,W,D,L,W,D,D,W,L,1.91,3.4,4.0,10.0,11.0,18,14,WWW,LLL,9,0
2013-12-15,Udinese,Torino,0,2,A,15,24,19,23,1,3,D,L,W,L,L,W,D,W,L,D,2.0,3.2,4.0,5.0,16.0,18,14,LDW,WDL,4,4
2013-12-16,Milan,Roma,2,2,D,23,29,23,5,1,3,D,W,D,D,L,W,D,D,D,D,2.38,3.2,3.0,3.0,6.0,18,14,WLD,LWD,4,4
2013-12-21,Cagliari,Napoli,1,1,D,17,35,23,19,1,3,D,W,D,D,W,W,D,W,L,L,3.6,3.2,2.1,11.0,2.0,18,14,LLL,WWW,0,9
2013-12-21,Livorno,Udinese,1,2,A,15,15,27,21,0,0,L,D,L,L,L,L,D,L,W,L,2.9,3.1,2.5,18.0,5.0,18,14,LLL,WWW,0,9
2013-12-22,Atalanta,Juventus,1,4,A,17,35,21,10,1,3,D,L,D,L,W,W,W,W,W,W,7.5,4.2,1.44,15.0,1.0,19,14,LLL,WWW,0,9
2013-12-22,Bologna,Genoa,1,0,H,16,17,31,19,0,1,L,L,D,D,L,D,L,D,D,W,2.15,3.2,3.5,13.0,17.0,19,14,WLD,LWD,4,4
2013-12-22,Inter,Milan,1,0,H,36,25,21,25,0,1,L,D,D,D,W,D,D,W,D,D,2.7,3.1,2.7,9.0,3.0,19,14,WWD,LLD,7,1
2013-12-22,Roma,Catania,4,0,H,31,10,7,28,1,1,D,W,D,D,D,D,L,L,L,W,1.25,5.5,13.0,6.0,8.0,19,14,DDL,DDW,2,5
2013-12-22,Sampdoria,Parma,1,1,D,18,22,24,24,3,1,W,W,D,D,L,D,D,D,W,D,2.6,3.1,2.8,14.0,10.0,19,14,LLW,WWL,3,6
2013-12-22,Sassuolo,Fiorentina,0,1,A,17,32,35,20,0,3,L,L,D,W,D,W,L,W,L,W,4.33,3.2,1.91,18.0,4.0,19,14,ND,ND,1,1
2013-12-22,Torino,Chievo,4,1,H,26,12,23,19,3,0,W,W,D,W,L,L,W,W,W,D,1.83,3.1,5.0,16.0,12.0,19,14,DWD,DLD,5,2
2013-12-22,Verona,Lazio,4,1,H,27,21,25,22,1,3,D,W,L,L,L,W,L,L,D,D,2.7,3.1,2.7,18.0,7.0,19,14,LWL,WLW,3,6
2014-05-01,Chievo,Cagliari,0,0,D,13,18,23,24,0,1,L,L,W,W,W,D,D,W,D,D,2.4,3.1,3.1,12.0,11.0,19,14,DWD,DLD,5,2
2014-05-01,Fiorentina,Livorno,1,0,H,33,16,20,29,3,0,W,W,L,W,L,L,L,D,L,L,1.33,4.8,10.0,4.0,18.0,20,14,WWW,LLL,9,0
2014-05-01,Juventus,Roma,3,0,H,39,35,11,7,3,3,W,W,W,W,W,W,D,W,D,D,1.7,3.4,5.5,1.0,6.0,20,14,WWL,LLW,6,3
2014-06-01,Catania,Bologna,2,0,H,10,17,32,31,0,3,L,D,L,L,L,W,L,L,D,D,2.15,3.1,3.6,8.0,13.0,20,14,LLW,WWL,3,6
2014-06-01,Genoa,Sassuolo,2,0,H,17,17,20,36,0,0,L,D,L,D,D,L,L,L,D,W,2.15,3.1,3.6,17.0,18.0,20,14,ND,ND,1,1
2014-06-01,Lazio,Inter,1,0,H,22,37,26,21,0,3,L,W,L,L,D,W,L,D,D,D,2.5,3.0,3.0,7.0,9.0,20,14,WWW,LLL,9,0
2014-06-01,Milan,Atalanta,3,0,H,25,18,26,25,0,0,L,D,D,W,D,L,D,L,D,L,1.44,4.0,8.0,3.0,15.0,20,14,WLW,LWL,6,3
2014-06-01,Napoli,Sampdoria,2,0,H,36,19,20,25,1,1,D,W,D,W,L,D,W,W,D,D,1.4,4.2,9.0,2.0,14.0,20,14,WWD,LLD,7,1
2014-06-01,Parma,Torino,3,1,H,23,30,25,24,1,3,D,D,D,D,W,W,W,W,D,W,2.1,3.1,3.8,10.0,16.0,20,14,DWW,DLL,7,1
2014-06-01,Udinese,Verona,1,3,A,17,31,22,26,3,3,W,L,D,L,W,W,D,W,L,L,1.83,3.3,4.5,5.0,18.0,20,14,WWL,LLW,6,3
2014-11-01,Bologna,Lazio,0,0,D,17,23,33,26,0,3,L,W,L,L,D,W,L,W,L,L,3.0,3.0,2.5,13.0,7.0,21,14,WDL,LDW,4,4
2014-11-01,Livorno,Parma,0,3,A,16,26,30,26,0,3,L,L,L,D,L,W,D,D,D,D,3.0,3.0,2.5,18.0,10.0,21,14,DWL,DLW,4,4
2014-12-01,Atalanta,Catania,2,1,H,18,12,28,32,0,3,L,L,D,L,D,W,L,D,L,L,1.95,3.1,4.33,15.0,8.0,21,14,LLD,WWD,1,7
2014-12-01,Cagliari,Juventus,1,4,A,18,42,24,11,1,3,D,D,D,W,D,W,W,W,W,W,8.0,4.0,1.44,11.0,1.0,21,14,LLD,WWD,1,7
2014-12-01,Roma,Genoa,4,0,H,35,19,10,20,0,3,L,W,D,W,D,W,L,D,L,D,1.36,4.33,10.0,6.0,17.0,21,14,WWW,LLL,9,0
2014-12-01,Sassuolo,Milan,4,3,H,17,28,38,26,0,3,L,L,L,L,D,W,L,D,D,W,5.5,3.2,1.75,18.0,3.0,21,14,ND,ND,1,1
2014-12-01,Torino,Fiorentina,0,0,D,31,34,27,20,0,3,L,W,W,W,D,W,W,W,L,W,2.9,3.0,2.62,16.0,4.0,21,14,LDL,WDW,1,7
