Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,WHH,WHD,WHA,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2004-01-02,Murcia,Zaragoza,1,0,H,2.25,3.1,2.8,19,20,35,31,0,0,L,L,D,L,L,L,L,D,L,W,20.0,12.0,22,4,L,W,0,3
2004-01-02,Sociedad,Santander,1,0,H,1.72,3.2,4.33,27,28,32,29,3,3,W,W,W,D,W,D,W,W,L,D,15.0,16.0,22,4,WWW,LLL,9,0
2004-01-02,Valladolid,Real Madrid,2,3,A,4.0,3.1,1.8,26,40,28,21,3,3,W,W,D,D,L,L,D,W,W,W,18.0,4.0,22,4,DLL,DWW,1,7
2004-01-02,Villarreal,Espanol,0,1,A,1.5,3.4,6.0,28,17,24,38,0,0,L,L,W,L,W,W,L,W,W,L,8.0,17.0,22,4,DDW,DDL,5,2
2004-07-02,Real Madrid,Malaga,2,1,H,1.14,6.0,12.0,43,27,23,36,3,0,W,L,W,L,D,L,L,L,W,L,4.0,10.0,23,4,WWW,LLL,9,0
2004-07-02,Valencia,Ath Madrid,3,0,H,1.61,3.3,5.0,42,30,16,25,3,1,W,D,L,D,D,W,W,W,W,D,1.0,7.0,23,4,DLW,DWL,4,4
2004-08-02,Albacete,La Coruna,0,2,A,3.4,3.0,2.0,23,37,32,17,0,3,L,W,D,L,D,W,L,D,L,W,14.0,3.0,23,4,L,W,0,3
2004-08-02,Ath Bilbao,Murcia,2,1,H,1.5,3.4,6.0,28,20,26,35,3,3,W,W,W,L,D,D,L,L,D,L,5.0,20.0,23,4,D,D,1,1
2004-08-02,Celta,Villarreal,2,1,H,2.25,3.1,2.8,30,28,40,25,0,0,L,L,L,L,D,W,W,W,L,L,19.0,8.0,23,4,WLD,LWD,4,4
2004-08-02,Espanol,Valladolid,2,0,H,2.25,3.1,2.8,18,28,38,31,3,0,W,L,L,W,L,D,W,L,W,D,17.0,18.0,23,4,WDL,LDW,4,4
2004-08-02,Osasuna,Barcelona,1,2,A,2.5,3.1,2.5,23,33,17,26,1,3,D,W,W,W,D,D,D,W,D,L,13.0,2.0,23,4,DDD,DDD,3,3
2004-08-02,Santander,Betis,1,2,A,2.2,3.0,3.0,28,28,30,24,0,3,L,W,W,W,D,D,D,W,W,D,16.0,9.0,23,4,LLD,WWD,1,7
2004-08-02,Sevilla,Mallorca,3,0,H,2.0,3.1,3.3,28,28,26,39,0,0,L,L,L,W,L,D,D,L,W,L,6.0,11.0,23,4,WWD,LLD,7,1
2004-08-02,Zaragoza,Sociedad,2,1,H,2.75,3.1,2.3,20,28,32,32,0,3,L,W,L,W,L,W,L,W,D,W,12.0,15.0,23,4,WLL,LWW,3,6
2004-02-14,Murcia,Sevilla,1,3,A,2.37,3.1,2.62,21,31,37,26,0,3,L,W,W,L,L,L,D,L,L,D,20.0,6.0,24,4,L,W,0,3
2004-02-14,Sociedad,Ath Bilbao,1,1,D,2.0,3.0,3.4,29,30,34,27,0,3,L,W,W,W,W,W,W,D,W,L,15.0,5.0,24,4,WLL,LWW,3,6
